plato_id,nombre_plato,categoria_plato,precio,popularidad,rating,restaurante_id,nombre_restaurante,categoria_rest,latitud,longitud,year,month,day,weekday,es_favorito,lunes_apertura_min,lunes_cierre_min,martes_apertura_min,martes_cierre_min,miércoles_apertura_min,miércoles_cierre_min,jueves_apertura_min,jueves_cierre_min,viernes_apertura_min,viernes_cierre_min,sábado_apertura_min,sábado_cierre_min,domingo_apertura_min,domingo_cierre_min,telefono
complementary_plate_saludable_1,Wrap de Vegetales del Chef,Saludable,16000,81,4.1,rest_saludable_14,Green & Co,Saludable,5.6349816,-73.5082962,2024,6,12,2,0,480,1320,480,1320,480,1320,480,1320,480,1320,423,1325,451,1318,3282944626
complementary_plate_saludable_2,Sushi Saludable,Saludable,10500,81,4.1,rest_saludable_18,Vida Sana,Saludable,5.6580286,-73.503684,2024,4,12,4,1,480,1320,480,1320,480,1320,480,1320,480,1320,431,1317,449,1354,
complementary_plate_saludable_3,Wrap de Vegetales,Saludable,12000,69,3.9,rest_saludable_5,Organic Bowl,Saludable,5.6492798,-73.5022519,2025,4,28,0,0,720,1380,720,1380,720,1380,720,1380,720,1380,717,1425,695,1350,
complementary_plate_saludable_4,Bowl Poké del Chef,Saludable,8500,78,3.9,rest_saludable_15,Organic Bowl,Saludable,5.6439463,-73.5015946,2025,12,24,2,0,420,1380,420,1380,420,1380,420,1380,420,1380,373,1361,408,1362,3931941985
complementary_plate_saludable_5,Sushi Saludable Clásico,Saludable,13000,89,4.1,rest_saludable_3,Vida Sana,Saludable,5.6262407,-73.5191416,2024,2,16,4,0,600,120,600,120,600,120,600,120,600,120,550,160,577,170,3951739920
complementary_plate_saludable_6,Bowl de Quinoa,Saludable,19500,77,4.1,rest_saludable_12,Healthy Bites,Saludable,5.6262398,-73.5009077,2024,4,27,5,0,720,1380,720,1380,720,1380,720,1380,720,1380,758,1387,670,1379,3723654698
complementary_plate_saludable_7,Buddha Bowl Especial,Saludable,11500,78,4.7,rest_saludable_8,Vida Sana,Saludable,5.6223233,-73.5097076,2024,8,9,4,0,420,1380,420,1380,420,1380,420,1380,420,1380,405,1376,445,1384,3192168436
complementary_plate_saludable_8,Buddha Bowl,Saludable,14000,81,3.7,rest_saludable_8,Organic Bowl,Saludable,5.654647,-73.5335331,2025,12,11,3,0,600,120,600,120,600,120,600,120,600,120,588,124,658,171,
complementary_plate_saludable_9,Sushi Saludable Clásico,Saludable,16500,73,3.8,rest_saludable_16,Vida Sana,Saludable,5.6440446,-73.520924,2024,4,6,5,1,420,1380,420,1380,420,1380,420,1380,420,1380,411,1384,368,1377,
complementary_plate_saludable_10,Buddha Bowl,Saludable,8000,70,3.7,rest_saludable_14,Organic Bowl,Saludable,5.6483229,-73.5112668,2024,6,18,1,1,600,120,600,120,600,120,600,120,600,120,558,123,557,121,
complementary_plate_saludable_11,Bowl de Quinoa Especial,Saludable,13500,85,4.0,rest_saludable_6,Vida Sana,Saludable,5.6208234,-73.5301064,2024,5,5,6,1,420,1380,420,1380,420,1380,420,1380,420,1380,388,1367,425,1413,3794373516
complementary_plate_saludable_12,Carpaccio de Atún,Saludable,16000,84,4.2,rest_saludable_4,Green & Co,Saludable,5.6587964,-73.5143754,2024,3,12,1,0,480,1320,480,1320,480,1320,480,1320,480,1320,469,1338,496,1349,
complementary_plate_saludable_13,Plato Vegano,Saludable,11500,85,4.5,rest_saludable_6,Organic Bowl,Saludable,5.6532977,-73.513336,2024,9,12,3,0,420,1380,420,1380,420,1380,420,1380,420,1380,374,1387,415,1370,
